SKU,FIRST_MINIMUM_PRICE
11331,$329.00
11332,$175.00
11333,$1849.00
11334,$329.00
11335,$304.00
11336,$2725.00
11337,$2725.00
11338,$156.00
11339,$266.00
11340,$3500.00
11341,$699.00
11342,$1022.00
11343,$228.00
11344,$115.00
11345,$2499.00
11346,$1099.00
11347,$1200.00
11348,$255.00
11349,$239.00
11350,$1499.00
11351,$1022.34
11352,$320.00
11353,$2000.00
11354,$325.00
11355,$390.00
11356,$250.00
11357,$383.00
11358,$1250.00
11359,$119.00
11360,$139.00
11361,$127.00
11362,$132.00
11363,$129.94
11364,$120.00
11365,$425.00
11366,$425.00
11367,$350.00
11368,$395.00
11369,$435.00
11370,$1750.00
11371,$1094.98
11372,$1050.00
11373,$1080.00
11374,$125.00
11376,$1650.00
11377,$185.00
11378,$180.00
11379,$119.99
